uid,site,date,lon_gda94,lat_gda94,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha,total_alv_ba,total_ded_ba,tot_ba_m2ha
1,lit01,20130426,131.06191720062165,-12.547912282106116,4264.437689969604,4258.600583090379,13063.265306122448,59553.93586005831,29852.478134110785,72617.20116618075,19910.20408163265,106560.0583090379,2004.285714285714,2086.7142857142853,6400.999999999999,29181.42857142857,14627.714285714284,35582.428571428565,9756.0,52214.428571428565,17.28571428571429,0.7142857142857144,18.0
6,girra02,20120605,131.1320003975128,-12.523406656210543,477.7203647416414,477.930029154519,1867.3760932944606,6075.131195335278,4606.851311953354,7942.5072886297385,2670.4956268221576,13007.580174927112,224.52857142857144,234.1857142857143,915.0142857142856,2976.814285714286,2257.357142857143,3891.8285714285716,1308.5428571428572,6373.714285714285,2.0714285714285716,0.3428571428571428,2.414285714285714
24,umb07,20130603,131.67447458410703,-13.962273105751455,892.7811550151974,891.399416909621,3063.848396501457,19491.90962099125,6369.314868804666,22555.758017492717,5886.151603498541,29781.413994169092,419.6071428571428,436.7857142857143,1501.285714285714,9551.035714285712,3120.9642857142862,11052.321428571431,2884.214285714285,14592.892857142855,4.857142857142857,0.46428571428571436,5.321428571428571
64,vrd16,20120727,130.88242965734435,-17.274225328607308,2.8267477203647418,2.82798833819242,11.049562682215743,35.947521865889215,27.25947521865889,46.99708454810496,15.801749271137027,76.96793002915452,1.3285714285714285,1.3857142857142857,5.414285714285714,17.614285714285714,13.357142857142856,23.02857142857143,7.742857142857143,37.714285714285715,0.014285714285714285,0.0,0.014285714285714285
68,vrd20,20120728,130.89904092732047,-17.102124815901536,25.440729483282677,25.451895043731778,99.44606413994168,323.52769679300286,245.33527696793,422.97376093294463,142.21574344023324,692.7113702623907,11.957142857142857,12.471428571428572,48.72857142857142,158.5285714285714,120.21428571428571,207.25714285714287,69.68571428571428,339.42857142857144,0.12857142857142856,0.0,0.12857142857142856
70,vrd22,20120728,131.09409284001714,-17.037462904821265,45.22796352583587,45.24781341107872,176.7930029154519,575.1603498542274,436.1516034985422,751.9533527696793,252.82798833819243,1231.4868804664723,21.257142857142856,22.17142857142857,86.62857142857142,281.8285714285714,213.7142857142857,368.45714285714286,123.88571428571429,603.4285714285714,0.2142857142857143,0.014285714285714285,0.22857142857142856
71,vrd23,20120729,131.0561344370699,-16.993753155499828,62.18844984802432,62.21574344023323,243.09037900874634,790.8454810495627,599.7084548104956,1033.9358600583091,347.6384839650146,1693.2944606413994,29.228571428571428,30.485714285714284,119.1142857142857,387.51428571428573,293.85714285714283,506.62857142857143,170.34285714285716,829.7142857142857,0.3142857142857143,0.0,0.3142857142857143
73,vrd25,20120730,131.06148423462568,-16.667624317812955,19.787234042553195,19.79591836734694,77.34693877551018,251.6326530612245,190.81632653061226,328.97959183673476,110.61224489795917,538.7755102040817,9.3,9.7,37.89999999999999,123.3,93.5,161.20000000000002,54.199999999999996,264.0,0.1,0.0,0.1
78,vrd30,20120731,131.11415853521322,-16.338289409789212,1024.696048632219,1025.1457725947523,4005.4664723032074,13030.976676384838,9881.55976676385,17036.443148688046,5728.134110787172,27900.874635568514,481.6071428571429,502.3214285714286,1962.6785714285716,6385.178571428571,4841.964285714286,8347.857142857143,2806.785714285714,13671.428571428572,4.749999999999999,0.42857142857142855,5.178571428571428
80,vrd32,20120801,131.238918642038,-16.20861179974201,11.306990881458967,11.31195335276968,44.19825072886298,143.79008746355686,109.03790087463555,187.98833819241983,63.20699708454811,307.87172011661806,5.314285714285714,5.542857142857143,21.65714285714286,70.45714285714286,53.42857142857142,92.11428571428571,30.97142857142857,150.85714285714286,0.05714285714285714,0.0,0.05714285714285714
81,vrd33,20120801,131.16094543663522,-16.16051633073828,8.480243161094226,8.48396501457726,33.14868804664723,107.84256559766764,81.77842565597668,140.99125364431487,47.40524781341108,230.90379008746356,3.9857142857142858,4.1571428571428575,16.242857142857144,52.84285714285714,40.07142857142857,69.08571428571429,23.228571428571428,113.14285714285714,0.04285714285714286,0.0,0.04285714285714286
85,vrd37,20120802,131.14143063551617,-16.17483551082522,1773.7841945288756,1774.5626822157435,6933.60058309038,22557.069970845478,17105.320699708456,29490.67055393586,9915.597667638483,48297.376093294464,833.6785714285714,869.5357142857143,3397.464285714286,11052.964285714284,8381.607142857143,14450.42857142857,4858.642857142857,23665.714285714286,7.357142857142858,1.6071428571428572,8.964285714285714
105,jdr01,20120522,131.59969977590038,-13.883786247503068,2075.15197568389,2071.355685131195,8556.778425655975,62851.311953352764,16018.950437317784,71408.09037900875,19436.15160349854,89417.49271137024,975.3214285714284,1014.9642857142856,4192.8214285714275,30797.142857142855,7849.285714285714,34989.96428571428,9523.714285714284,43814.57142857142,17.464285714285715,0.10714285714285714,17.57142857142857
106,jdr02,20120523,131.60024570659297,-13.857266238781667,3523.100303951368,3518.9504373177847,10174.344023323616,57321.282798833825,23666.472303207,67495.62682215744,15801.749271137027,94541.39941690963,1655.857142857143,1724.2857142857144,4985.428571428572,28087.428571428572,11596.57142857143,33072.857142857145,7742.857142857143,46325.28571428572,13.714285714285714,0.5714285714285714,14.285714285714286
107,jdr03,20120523,131.5679093748641,-13.846884382727328,1710.1823708206687,1710.932944606414,6684.985422740524,21748.250728862975,16491.98250728863,28433.236151603498,9560.0583090379,46565.59766763848,803.7857142857142,838.3571428571428,3275.642857142857,10656.642857142857,8081.071428571428,13932.285714285714,4684.428571428572,22817.142857142855,8.428571428571429,0.21428571428571427,8.642857142857142
108,jdr04,20120523,131.5977290340626,-13.974668971715626,572.4164133738602,572.667638483965,2237.536443148688,7279.373177842565,5520.043731778424,9516.909620991253,3199.8542274052475,15586.005830903789,269.0357142857143,280.60714285714283,1096.392857142857,3566.892857142857,2704.821428571428,4663.285714285714,1567.9285714285713,7637.142857142856,2.8214285714285716,0.07142857142857142,2.892857142857143
110,auv01,20121009,130.09326462730013,-15.580780955889887,652.9787234042554,653.265306122449,2552.4489795918375,8303.87755102041,6296.938775510206,10856.326530612248,3650.204081632654,17779.591836734697,306.90000000000003,320.1,1250.7000000000003,4068.900000000001,3085.500000000001,5319.600000000001,1788.6000000000004,8712.000000000002,3.2,0.1,3.3000000000000007
111,auv02,20121010,130.0300394091591,-15.67690430418792,472.0668693009119,472.2740524781341,1845.276967930029,6003.236151603498,4552.332361516035,7848.513119533527,2638.8921282798833,12853.644314868805,221.87142857142857,231.41428571428568,904.1857142857142,2941.585714285714,2230.6428571428573,3845.7714285714283,1293.0571428571427,6298.285714285715,2.2857142857142865,0.1,2.3857142857142857
112,auv03,20121010,129.9789378709744,-15.710431463252995,206.3525835866261,206.44314868804665,806.6180758017492,2624.169096209913,1989.941690962099,3430.7871720116623,1153.5276967930029,5618.65889212828,96.98571428571427,101.15714285714286,395.24285714285713,1285.8428571428572,975.0714285714286,1681.0857142857144,565.2285714285714,2753.1428571428573,1.042857142857143,0.0,1.042857142857143
114,auv05,20121011,129.8277172202255,-15.861849454216609,11.306990881458967,11.31195335276968,44.19825072886297,143.79008746355686,109.03790087463555,187.98833819241983,63.20699708454811,307.87172011661806,5.314285714285714,5.542857142857143,21.657142857142855,70.45714285714286,53.42857142857142,92.11428571428571,30.97142857142857,150.85714285714286,0.05714285714285714,0.0,0.05714285714285714
123,site01,20230907,130.97215529423508,-12.517518790841898,2803.0929866036245,2797.808012093726,9896.604938271605,66986.3000755858,19584.30964978584,76882.9050138574,20278.91156462585,99155.89569160997,1317.4537037037035,1370.9259259259259,4849.336419753086,32823.28703703704,9596.311728395061,37672.62345679012,9936.666666666666,48586.38888888888,18.166666666666664,0.16666666666666663,18.333333333333336
124,site02,20230907,130.98466937849187,-12.525174956853903,2697.1631205673757,2693.8775510204077,8917.006802721087,45822.78911564626,19858.843537414963,54739.79591836733,14932.653061224488,77185.71428571429,1267.6666666666665,1319.9999999999998,4369.333333333333,22453.166666666664,9730.833333333332,26822.499999999993,7316.999999999999,37821.0,13.000000000000002,0.49999999999999994,13.499999999999998
125,site03,20230907,131.03762873787363,-12.637617251653689,2153.7234042553196,2151.1904761904766,6478.231292517007,31407.653061224493,15078.40136054422,37885.8843537415,9770.748299319728,55030.10204081634,1012.2500000000001,1054.0833333333335,3174.3333333333335,15389.750000000002,7388.416666666668,18564.083333333336,4787.666666666667,26964.750000000004,8.5,0.3333333333333333,8.833333333333334
126,site04,20230907,131.0377655490371,-12.645767862157324,2417.3758865248224,2413.2653061224487,6940.47619047619,33008.50340136054,15660.884353741494,39948.97959183673,10508.16326530612,57928.57142857141,1136.1666666666665,1182.4999999999998,3400.833333333333,16174.166666666664,7673.833333333332,19574.999999999996,5148.999999999999,28384.999999999993,9.499999999999998,0.0,9.499999999999998
127,site05,20230908,131.00768654509443,-12.66102913161641,1186.7781155015198,1187.0262390670555,4539.941690962099,14655.830903790087,11123.4693877551,19195.772594752187,6478.7172011661805,31457.580174927112,557.7857142857142,581.6428571428572,2224.5714285714284,7181.357142857142,5450.499999999999,9405.92857142857,3174.5714285714284,15414.214285714284,5.642857142857143,0.21428571428571427,5.857142857142856
128,site06,20230908,131.00348041049514,-12.65094654432797,1735.5623100303949,1734.4023323615154,5973.760932944606,24059.475218658892,14044.897959183672,30033.236151603494,9006.997084548104,45742.85714285714,815.7142857142856,849.8571428571425,2927.142857142857,11789.142857142857,6881.999999999999,14716.285714285712,4413.428571428571,22413.999999999996,7.92857142857143,0.21428571428571425,8.142857142857142
129,site07,20230909,131.07458021700324,-12.659277655124672,2220.212765957447,2218.513119533528,7451.457725947521,35288.92128279883,17705.830903790087,42741.107871720116,11535.276967930029,62576.5306122449,1043.5,1087.0714285714287,3651.2142857142853,17291.571428571428,8675.857142857143,20943.142857142855,5652.285714285714,30662.5,9.785714285714286,0.6428571428571428,10.428571428571429
130,site08,20230909,131.07560748199876,-12.660199463829787,2385.6382978723404,2381.972789115646,8214.285714285714,46108.67346938775,17654.59183673469,54323.46938775509,14840.476190476189,74266.32653061223,1121.25,1167.1666666666665,4024.9999999999995,22593.249999999996,8650.749999999998,26618.499999999993,7271.833333333332,36390.49999999999,12.833333333333336,0.5833333333333335,13.416666666666664
131,site09,20230910,131.01805131890796,-13.030253653150913,3020.2887537993925,3017.930029154519,10387.609329446064,53445.91836734693,23661.07871720117,63833.527696793,17302.915451895045,90391.61807580176,1419.5357142857144,1478.7857142857144,5089.928571428572,26188.499999999996,11593.928571428572,31278.42857142857,8478.428571428572,44291.89285714286,14.999999999999998,0.6428571428571428,15.64285714285714
132,site10,20230910,130.92608220293545,-13.035195646398838,4365.045592705167,4361.807580174926,15189.795918367347,64638.48396501457,35201.749271137014,79828.27988338191,23702.623906705536,119216.90962099125,2051.5714285714284,2137.2857142857138,7443.0,31672.85714285714,17248.857142857138,39115.85714285714,11614.285714285712,58416.28571428571,20.999999999999996,0.4285714285714285,21.428571428571423
133,site11,20230910,130.84966906777595,-13.068550956932507,56.53495440729485,56.5597667638484,220.99125364431492,718.9504373177843,545.1895043731779,939.9416909620993,316.0349854227406,1539.3586005830907,26.571428571428577,27.714285714285715,108.2857142857143,352.28571428571433,267.14285714285717,460.57142857142867,154.8571428571429,754.2857142857144,0.28571428571428575,0.0,0.28571428571428575
134,site12,20230910,130.80334876004153,-13.13212685988225,2882.174146254246,2877.0651117589896,11394.252939270946,77013.54827645342,22014.081823205473,88407.80121572438,24492.71137026239,113186.4174241125,1354.6218487394956,1409.7619047619048,5583.183940242763,37736.63865546218,10786.900093370681,43319.82259570494,12001.42857142857,55461.34453781512,20.57142857142857,1.5714285714285716,22.142857142857142
135,site13,20230910,130.79107864925666,-13.142950913866201,2406.61094224924,2401.967930029154,8804.300291545189,56457.72594752185,17315.160349854224,65262.02623906706,18013.99416909621,84885.56851311952,1131.1071428571427,1176.9642857142856,4314.107142857142,27664.285714285706,8484.42857142857,31978.39285714286,8826.857142857143,41593.928571428565,14.892857142857142,1.3928571428571428,16.285714285714285
136,site14,20230910,131.59562827561757,-12.859114538433158,937.4620060790273,937.8279883381924,3647.959183673469,11848.906705539359,8986.807580174926,15496.865889212828,5214.577259475218,25382.87172011662,440.60714285714283,459.5357142857143,1787.4999999999998,5805.964285714285,4403.535714285714,7593.464285714285,2555.142857142857,12437.607142857143,4.178571428571429,0.5357142857142857,4.714285714285714
137,site15,20230910,131.98627906401165,-12.819008911100777,4691.185410334348,4683.381924198251,15925.364431486882,78154.51895043733,34801.74927113703,94081.34110787173,27179.008746355692,133382.79883381925,2204.857142857143,2294.857142857143,7803.428571428572,38295.71428571429,17052.857142857145,46099.857142857145,13317.714285714288,65357.57142857143,22.999999999999996,1.5714285714285716,24.57142857142857
138,site16,20230910,132.01152120013234,-12.825627676802075,1738.4498480243162,1739.2128279883384,6795.4810495626825,22107.72594752187,16764.57725947522,28903.206997084548,9718.07580174927,47335.276967930025,817.0714285714286,852.2142857142858,3329.785714285714,10832.785714285716,8214.642857142857,14162.571428571428,4761.857142857142,23194.285714285714,7.928571428571429,0.8571428571428571,8.785714285714285
139,site17,20230910,132.31431892385257,-12.742015043271227,3360.6382978723404,3358.1632653061224,11768.221574344021,56834.47521865889,26902.25947521866,68602.69679300292,19317.638483965013,98728.42565597667,1579.5,1645.5,5766.428571428571,27848.892857142855,13182.107142857143,33615.32142857143,9465.642857142857,48376.928571428565,16.392857142857142,1.0714285714285714,17.464285714285715
140,site18,20230910,132.26630447235203,-12.767599985614757,3173.1483975222195,3169.056537624092,10824.785954164669,57179.88430453555,23626.8765915046,68004.67025870024,18843.586005830904,94675.1789866037,1491.379746835443,1552.837703435805,5304.145117540687,28018.14330922242,11577.169529837252,33322.288426763116,9233.357142857143,46390.83770343581,16.392857142857142,0.6428571428571428,17.035714285714285
141,site20,20230916,131.55771979013545,-12.807804106710764,2728.2674772036476,2724.0524781341105,9181.486880466471,49210.932944606415,21508.600583090378,58395.699708454806,15169.679300291544,82521.20991253645,1282.2857142857142,1334.7857142857142,4498.928571428571,24113.35714285714,10539.214285714284,28613.892857142855,7433.142857142856,40435.392857142855,12.642857142857142,1.0714285714285714,13.714285714285715
142,site21,20230916,131.56669553407158,-12.816563842429792,8757.75075987842,8737.609329446064,23913.994169096208,95725.94752186586,52430.903790087454,119639.94169096209,34605.83090379008,180471.13702623904,4116.142857142857,4281.428571428572,11717.857142857141,46905.714285714275,25691.14285714285,58623.57142857143,16956.85714285714,88430.85714285713,28.428571428571423,2.857142857142857,31.28571428571428
143,site22,20230916,132.25346103747694,-12.77087842999671,2572.0364741641333,2568.2215743440233,10425.364431486882,69200.2915451895,22511.661807580178,79629.15451895042,21016.326530612245,104607.8717201166,1208.8571428571427,1258.4285714285713,5108.428571428572,33908.142857142855,11030.714285714286,39018.28571428571,10298.0,51257.85714285713,17.14285714285714,1.8571428571428572,18.999999999999996
144,site23,20230916,132.53857746474145,-12.657977285836749,1448.70820668693,1449.3440233236151,5662.9008746355685,18423.104956268224,13970.48104956268,24086.00583090379,8098.396501457726,39446.064139941685,680.8928571428571,710.1785714285714,2774.8214285714284,9027.32142857143,6845.535714285714,11802.142857142857,3968.214285714286,19328.571428571424,7.142857142857142,0.1785714285714286,7.321428571428571
146,jnk101,20240526,130.9846922815218,-12.589930051704242,2050.911854103344,2048.3965014577266,6874.344023323616,29644.897959183672,15494.46064139942,36519.241982507294,10903.20699708455,53980.903790087475,963.9285714285716,1003.7142857142859,3368.428571428572,14526.0,7592.285714285716,17894.428571428572,5342.571428571429,26450.642857142862,9.142857142857142,0.7142857142857144,9.857142857142858
147,jnk102,20240526,130.99120299812228,-12.595088024259562,1829.2160502641723,1826.3153775412375,6348.1519165672025,37212.80842154696,13336.724910481928,43561.10708904846,11851.31195335277,58652.38617019194,859.731543624161,894.8945349952063,3110.594439117929,18234.27612655801,6534.995206136145,21344.942473633746,5807.142857142857,28739.66922339405,10.571428571428573,0.14285714285714285,10.714285714285717
148,jnk103,20240526,131.01499451787765,-12.611764716000451,1921.4285714285718,1917.0553935860062,5990.0874635568525,35100.437317784264,12117.93002915452,41090.524781341104,11061.224489795919,55051.45772594753,903.0714285714287,939.357142857143,2935.142857142858,17199.21428571429,5937.785714285715,20134.35714285714,5420.0,26975.21428571429,9.285714285714286,0.7142857142857143,9.999999999999998
149,fin101,20240526,131.01499758817147,-12.644688880745294,844.6808510638299,843.8775510204082,3403.3527696793003,18477.696793002917,7610.3498542274065,21881.77842565598,6241.6909620991255,30302.332361516033,397.0,413.5,1667.642857142857,9054.07142857143,3729.071428571429,10722.07142857143,3058.4285714285716,14848.142857142857,5.2857142857142865,0.3571428571428572,5.642857142857144
150,fin102,20240526,131.02303255401256,-12.642996550981081,3632.218844984803,3628.5714285714284,12333.527696793004,55999.125364431486,28060.349854227406,68332.6530612245,19752.186588921282,99876.96793002915,1707.1428571428573,1778.0,6043.428571428572,27439.571428571428,13749.57142857143,33483.0,9678.571428571428,48939.71428571428,16.714285714285715,1.1428571428571428,17.857142857142854
151,lfr101,20240526,130.8388958542966,-12.811394520522128,2374.7720364741635,2371.428571428571,7697.95918367347,40209.03790087463,17274.344023323614,47907.58017492711,12799.41690962099,67459.76676384838,1116.1428571428569,1161.9999999999998,3772.0,19702.42857142857,8464.42857142857,23474.714285714286,6271.714285714285,33055.28571428571,10.857142857142858,0.7142857142857144,11.57142857142857
152,lfr102,20240526,130.832636253698,-12.892754027463335,1800.911854103343,1800.5830903790084,6779.008746355684,28770.84548104956,15932.361516034982,35549.854227405245,10745.189504373178,53209.62099125363,846.4285714285712,882.2857142857141,3321.714285714285,14097.714285714284,7806.857142857141,17419.42857142857,5265.142857142857,26072.71428571428,9.000000000000002,0.7142857142857144,9.714285714285715
153,cpr01,20240602,130.9309200995863,-12.76203823276146,1000.6079027355622,999.1253644314868,3923.6151603498547,26226.67638483965,7963.994169096208,30150.583090379005,8137.900874635568,39074.34402332361,470.2857142857142,489.5714285714285,1922.5714285714287,12851.07142857143,3902.3571428571418,14773.785714285712,3987.571428571428,19146.42857142857,6.142857142857142,1.2142857142857142,7.357142857142856
154,cpr02,20240602,130.89117949993326,-12.722681578007512,696.5045592705167,696.3556851311954,2557.4344023323615,8130.174927113702,6181.486880466472,10687.609329446062,3634.402332361516,17537.17201166181,327.35714285714283,341.2142857142857,1253.142857142857,3983.785714285714,3028.928571428571,5236.928571428571,1780.857142857143,8593.214285714286,2.7857142857142856,0.5,3.285714285714286
155,cpr03,20240602,130.8096937999255,-12.709415790883252,110.24316109422493,110.29154518950439,430.9329446064141,1401.9533527696794,1063.1195335276968,1832.8862973760934,616.2682215743441,3001.749271137027,51.81428571428572,54.04285714285715,211.1571428571429,686.9571428571429,520.9285714285714,898.1142857142858,301.9714285714286,1470.8571428571431,0.5428571428571429,0.014285714285714285,0.5571428571428572
